,post_id,date,count
3189,781,2023-08-27,3
3190,781,2023-09-03,2
3191,781,2023-09-10,1
3192,781,2023-09-17,2
3193,781,2023-10-01,2
3194,781,2023-10-08,3
3195,781,2023-10-22,2
3196,781,2023-10-29,3
3197,781,2023-11-05,1
3198,781,2023-11-12,1
3199,781,2023-11-26,3
3200,781,2023-12-03,2
3201,781,2023-12-10,1
3202,781,2023-12-17,3
3203,781,2023-12-31,3
3204,781,2024-01-07,3
3205,781,2024-01-14,1
3206,781,2024-01-21,4
3207,781,2024-01-28,1
3208,781,2024-02-04,2
3209,781,2024-02-18,1
3210,865,2021-01-31,2
3211,865,2021-02-14,1
3212,865,2021-02-28,3
3213,865,2021-03-14,1
3214,865,2021-05-02,1
3215,865,2021-05-09,1
3216,865,2021-05-16,1
3217,865,2021-05-30,1
3218,865,2021-06-06,2
3219,865,2021-06-13,1
3220,865,2021-06-20,2
3221,865,2021-06-27,1
3222,865,2021-07-04,1
3223,865,2021-07-11,1
3224,865,2021-07-18,2
3225,865,2021-07-25,1
3226,865,2021-08-22,1
3227,865,2021-09-12,1
3228,865,2021-09-19,1
3229,865,2021-10-10,1
3230,865,2021-11-14,1
3231,865,2021-11-21,1
3232,865,2021-11-28,1
3233,865,2021-12-12,2
3234,865,2021-12-26,1
3235,865,2022-01-02,1
3236,865,2022-01-09,2
3237,865,2022-01-16,1
3238,865,2022-01-23,3
3239,865,2022-01-30,6
3240,865,2022-02-06,2
3241,865,2022-02-13,2
3242,865,2022-02-20,2
3243,865,2022-02-27,5
3244,865,2022-03-06,1
3245,865,2022-03-13,3
3246,865,2022-03-20,1
3247,865,2022-03-27,3
3248,865,2022-04-10,2
3249,865,2022-04-17,5
3250,865,2022-04-24,4
3251,865,2022-05-01,1
3252,865,2022-05-08,5
3253,865,2022-05-15,5
3254,865,2022-05-22,3
3255,865,2022-05-29,2
3256,865,2022-06-05,2
3257,865,2022-06-12,4
3258,865,2022-06-26,2
3259,865,2022-07-10,2
3260,865,2022-07-17,1
3261,865,2022-07-24,2
3262,865,2022-07-31,1
3263,865,2022-08-07,1
3264,865,2022-08-21,1
3265,865,2022-08-28,2
3266,865,2022-09-04,2
3267,865,2022-09-11,4
3268,865,2022-09-18,1
3269,865,2022-09-25,1
3270,865,2022-10-02,4
3271,865,2022-10-09,3
3272,865,2022-10-16,4
3273,865,2022-10-23,2
3274,865,2022-10-30,2
3275,865,2022-11-06,3
3276,865,2022-11-13,2
3277,865,2022-11-20,2
3278,865,2022-11-27,2
3279,865,2022-12-04,1
3280,865,2022-12-11,3
3281,865,2022-12-18,5
3282,865,2022-12-25,2
3283,865,2023-01-01,3
3284,865,2023-01-08,1
3285,865,2023-01-22,1
3286,865,2023-01-29,2
3287,865,2023-02-05,3
3288,865,2023-02-26,3
3289,865,2023-03-05,3
3290,865,2023-03-19,1
3291,865,2023-04-02,1
3292,865,2023-04-16,2
3293,865,2023-05-14,4
3294,865,2023-05-21,2
3295,865,2023-06-04,1
3296,865,2023-06-11,1
3297,865,2023-06-18,1
3298,865,2023-06-25,4
3299,865,2023-07-09,1
3300,865,2023-07-16,3
3301,865,2023-07-23,2
3302,865,2023-07-30,5
3303,865,2023-08-06,2
3304,865,2023-08-13,1
3305,865,2023-08-20,3
3306,865,2023-08-27,2
3307,865,2023-09-03,4
3308,865,2023-09-10,6
3309,865,2023-09-17,2
3310,865,2023-09-24,1
3311,865,2023-10-01,2
3312,865,2023-10-08,2
3313,865,2023-10-15,2
3314,865,2023-10-22,1
3315,865,2023-10-29,3
3316,865,2023-11-05,3
3317,865,2023-11-26,1
3318,865,2023-12-03,4
3319,865,2023-12-10,2
3320,865,2023-12-17,1
3321,865,2023-12-24,1
3322,865,2024-01-07,1
3323,865,2024-01-14,1
3324,865,2024-02-04,1
3325,947,2020-10-25,1
